,Movie,Director,Actors,Rating
34,The Nightmare Before Christmas,Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey",82
35,Cats,Tom Hooper,"Robbie Fairchild, Mette Towley, Daniela Norman, Jaih Betote",32
36,My Fair Lady,George Cukor,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White",95
37,The Best Little Whorehouse in Texas,Colin Higgins,"Burt Reynolds, Dolly Parton, Dom DeLuise, Charles Durning",40
38,Jersey Boys,Clint Eastwood,"Vincent Piazza, John Lloyd Young, Steve Schirripa, Christopher Walken",54
39,Footloose,Herbert Ross,"Kevin Bacon, Lori Singer, John Lithgow, Dianne Wiest",42
40,Rock of Ages,Adam Shankman,"Julianne Hough, Dakota Sage Grant, Matthew Rush Sullivan, Diego Boneta",47
41,The Blues Brothers,John Landis,"Tom Erhart, Gerald Walling, John Belushi, Walter Levine",60
42,Annie,John Huston,"Albert Finney, Carol Burnett, Ann Reinking, Tim Curry",39
43,Nine,Rob Marshall,"Daniel Day-Lewis, Sandro Dori, Nicole Kidman, Marion Cotillard",49
44,The Aristocats,Wolfgang Reitherman,"Phil Harris, Eva Gabor, Sterling Holloway, Scatman Crothers",66
45,Bareilly Ki Barfi,Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi",N/A
46,"South Park: Bigger, Longer & Uncut",Trey Parker,"Trey Parker, Matt Stone, Mary Kay Bergman, Isaac Hayes",73
47,Popeye,Robert Altman,"Robin Williams, Shelley Duvall, Ray Walston, Paul Dooley",64
48,Dancer in the Dark,Lars von Trier,"Björk, Catherine Deneuve, David Morse, Peter Stormare",61
49,West Side Story,"Jerome Robbins, Robert Wise","Natalie Wood, Richard Beymer, Russ Tamblyn, Rita Moreno",86
50,Cabaret,Bob Fosse,"Liza Minnelli, Michael York, Helmut Griem, Joel Grey",80
51,Yentl,Barbra Streisand,"Barbra Streisand, Mandy Patinkin, Amy Irving, Nehemiah Persoff",68
52,Little Shop of Horrors,Frank Oz,"Levi Stubbs, Rick Moranis, Ellen Greene, Vincent Gardenia",81
53,Oliver!,Carol Reed,"Ron Moody, Shani Wallis, Oliver Reed, Harry Secombe",74
54,Breakin',Joel Silberg,"Lucinda Dickey, Adolfo Quinones, Michael Chambers, Ben Lokey",53
55,The Wizard of Oz,"Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, Richard Thorpe, King Vidor","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr",92
56,Everyone Says I Love You,Woody Allen,"Edward Norton, Drew Barrymore, Diva Gray, Ami Almendral",N/A
57,"Hello, Dolly",Gene Kelly,"Barbra Streisand, Walter Matthau, Michael Crawford, Marianne McAndrew",51
58,Paint Your Wagon,Joshua Logan,"Lee Marvin, Clint Eastwood, Jean Seberg, Harve Presnell",50
59,Rent,Chris Columbus,"Anthony Rapp, Adam Pascal, Rosario Dawson, Jesse L. Martin",53
60,Joyful Noise,Todd Graff,"Queen Latifah, Dolly Parton, Keke Palmer, Jeremy Jordan",44
61,Camelot,N/A,"Joseph Fiennes, Jamie Campbell Bower, Tamsin Egerton, Peter Mooney",N/A
62,White Christmas,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen",56
63,Across the Universe,Julie Taymor,"Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs",56
64,Cirque du Soleil - Journey of Man,Keith Melton,"Ian McKellen, Nicky Dewhurst, Brian Dewhurst, Ana Karagy",55
65,Bride & Prejudice,Gary Winick,"Kate Hudson, Anne Hathaway, Bryan Greenberg, Chris Pratt",24
66,Jesus Christ Superstar,Norman Jewison,"Ted Neeley, Carl Anderson, Yvonne Elliman, Barry Dennen",64
67,Eight Crazy Nights,Seth Kearsley,"Adam Sandler, Jackie Sandler, Austin Stout, Kevin Nealon",23
